ticker,CSIIGL Index,GSUSCAI Index,GSCNCAI Index,WRAIRISK Index,VIX Index,FEDL01 Index,USGG10YR Index,XAU BGN Curncy,GSUSFCI Index,GSCNFCI Index,GSGLCAI Index
field,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
date,,,,,,,,,,,
1983-08-26,,,,,,9.43,11.751,417.0,,,
1983-08-29,,,,,,9.43,11.81,,,,
1983-08-30,,,,,,9.47,11.891,418.1,,,
1983-08-31,,,,,,9.59,11.94,414.25,,,
1983-09-01,,7.16,,,,9.61,11.956,416.6,,,
1983-09-02,,8.06,,,,9.52,11.755,417.5,,,
1983-09-05,,,,,,9.52,,419.1,,,
1983-09-06,,,,,,9.47,11.809,418.25,,,
1983-09-07,,,,,,9.57,11.674,413.25,,,
1983-09-08,,,,,,9.53,11.712,414.0,,,
1983-09-09,,,,,,9.6,11.446,414.75,,,
1983-09-12,,,,,,9.45,11.53,415.75,,,
1983-09-13,,,,,,9.54,11.604,406.75,,,
1983-09-14,,,,,,9.49,11.743,401.75,,,
1983-09-15,,,,,,9.66,11.732,405.25,,,
1983-09-16,,,,,,9.59,11.711,405.5,,,
1983-09-19,,,,,,9.37,11.608,412.25,,,
1983-09-20,,,,,,9.22,11.518,412.35,,,
1983-09-21,,,,,,9.35,11.603,411.25,,,
1983-09-22,,,,,,9.44,11.518,407.75,,,
1983-09-23,,,,,,9.08,11.381,413.0,,,
1983-09-26,,,,,,8.91,11.422,415.0,,,
1983-09-27,,,,,,8.66,11.391,412.25,,,
1983-09-28,,,,,,9.01,11.485,413.6,,,
1983-09-29,,,,,,9.68,11.438,408.75,,,
1983-09-30,,,,,,10.59,11.39,405.0,,,
1983-10-03,,6.97,,,,9.62,11.437,389.0,,,
1983-10-04,,,,,,9.55,11.358,393.5,,,
1983-10-05,,,,,,9.37,11.306,389.5,,,
1983-10-06,,,,,,9.46,11.274000000000001,394.0,,,
