ticker,LF98TRUU Index,SPX Index,NG1 COMB Comdty,CCMP Index,XAU Curncy,CL1 COMB Comdty,HG1 COMB Comdty,INDU Index,SXXP Index,SHCOMP Index,LBUSTRUU Index
field,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
date,,,,,,,,,,,
1951-08-14,,22.7,,,,,,262.87,,,
1951-08-15,,22.79,,,,,,264.26,,,
1951-08-16,,22.87,,,,,,265.47,,,
1951-08-17,,22.94,,,,,,266.16,,,
1951-08-20,,22.93,,,,,,266.18,,,
1951-08-21,,22.83,,,,,,265.29,,,
1951-08-22,,22.75,,,,,,264.06,,,
1951-08-23,,22.9,,,,,,265.64,,,
1951-08-24,,22.88,,,,,,266.29,,,
1951-08-27,,22.85,,,,,,265.58,,,
1951-08-28,,22.9,,,,,,265.55,,,
1951-08-29,,23.08,,,,,,268.17,,,
1951-08-30,,23.24,,,,,,269.93,,,
1951-08-31,,23.28,,,34.72,,,270.25,,,
1951-09-04,,23.28,,,,,,270.62,,,
1951-09-05,,23.42,,,,,,272.47,,,
1951-09-06,,23.47,,,,,,272.27,,,
1951-09-07,,23.53,,,,,,273.88,,,
1951-09-10,,23.62,,,,,,275.25,,,
1951-09-11,,23.5,,,,,,273.87,,,
1951-09-12,,23.6,,,,,,275.3,,,
1951-09-13,,23.71,,,,,,276.36,,,
1951-09-14,,23.69,,,,,,276.05,,,
1951-09-17,,23.62,,,,,,275.08,,,
1951-09-18,,23.59,,,,,,274.37,,,
1951-09-19,,23.59,,,,,,274.26,,,
1951-09-20,,23.57,,,,,,274.09,,,
1951-09-21,,23.4,,,,,,272.1,,,
1951-09-24,,23.3,,,,,,270.76,,,
1951-09-25,,23.38,,,,,,272.23,,,
1951-09-26,,23.4,,,,,,272.23,,,
1951-09-27,,23.27,,,,,,271.3,,,
1951-09-28,,23.26,,,34.72,,,271.15,,,
1951-10-01,,23.47,,,,,,272.55,,,
1951-10-02,,23.64,,,,,,274.33,,,
1951-10-03,,23.79,,,,,,275.86,,,
1951-10-04,,23.72,,,,,,275.34,,,
1951-10-05,,23.78,,,,,,275.62,,,
1951-10-08,,23.75,,,,,,275.13,,,
1951-10-09,,23.65,,,,,,273.37,,,
1951-10-10,,23.61,,,,,,272.75,,,
1951-10-11,,23.7,,,,,,274.09,,,
1951-10-12,,,,,,,,274.09,,,
1951-10-15,,23.85,,,,,,275.73,,,
1951-10-16,,23.77,,,,,,274.39,,,
1951-10-17,,23.69,,,,,,273.52,,,
1951-10-18,,23.67,,,,,,273.5,,,
1951-10-19,,23.32,,,,,,269.67,,,
1951-10-22,,22.75,,,,,,262.28,,,
1951-10-23,,22.84,,,,,,263.5,,,
1951-10-24,,23.03,,,,,,264.94,,,
1951-10-25,,22.96,,,,,,264.16,,,
1951-10-26,,22.81,,,,,,262.26,,,
1951-10-29,,22.69,,,,,,260.42,,,
1951-10-30,,22.66,,,,,,260.51,,,
1951-10-31,,22.94,,,34.72,,,262.34,,,
1951-11-01,,23.1,,,,,,264.05,,,
1951-11-02,,22.93,,,,,,261.93,,,
1951-11-05,,22.82,,,,,,259.75,,,
1951-11-07,,22.49,,,,,,257.13,,,
1951-11-08,,22.47,,,,,,257.13,,,
1951-11-09,,22.75,,,,,,259.9,,,
1951-11-13,,22.79,,,,,,260.4,,,
1951-11-14,,22.85,,,,,,261.26,,,
1951-11-15,,22.84,,,,,,260.9,,,
1951-11-16,,22.82,,,,,,260.38,,,
1951-11-19,,22.73,,,,,,259.69,,,
1951-11-20,,22.68,,,,,,259.29,,,
1951-11-21,,22.64,,,,,,258.71,,,
1951-11-23,,22.4,,,,,,256.94,,,
1951-11-26,,22.43,,,,,,257.43,,,
1951-11-27,,22.66,,,,,,259.45,,,
1951-11-28,,22.61,,,,,,258.63,,,
1951-11-29,,22.67,,,,,,258.95,,,
1951-11-30,,22.88,,,34.72,,,261.26,,,
1951-12-03,,23.01,,,,,,263.23,,,
1951-12-04,,23.14,,,,,,264.28,,,
1951-12-05,,23.07,,,,,,263.71,,,
1951-12-06,,23.34,,,,,,266.22,,,
1951-12-07,,23.38,,,,,,266.98,,,
1951-12-10,,23.42,,,,,,267.37,,,
1951-12-11,,23.3,,,,,,265.76,,,
1951-12-12,,23.37,,,,,,266.08,,,
1951-12-13,,23.39,,,,,,265.8,,,
1951-12-14,,23.37,,,,,,265.7,,,
1951-12-17,,23.41,,,,,,265.78,,,
1951-12-18,,23.49,,,,,,266.6,,,
1951-12-19,,23.57,,,,,,267.6,,,
1951-12-20,,23.57,,,,,,267.44,,,
1951-12-21,,23.51,,,,,,266.33,,,
1951-12-24,,23.54,,,,,,265.78,,,
1951-12-26,,23.44,,,,,,264.05,,,
1951-12-27,,23.65,,,,,,266.73,,,
1951-12-28,,23.69,,,,,,268.17,,,
1951-12-31,,23.77,,,34.72,,,269.22,,,
1952-01-02,,23.8,,,,,,269.85,,,
1952-01-03,,23.88,,,,,,270.37,,,
1952-01-04,,23.92,,,,,,271.02,,,
1952-01-07,,23.91,,,,,,270.33,,,
1952-01-08,,23.82,,,,,,268.65,,,
1952-01-09,,23.74,,,,,,268.07,,,
1952-01-10,,23.86,,,,,,269.45,,,
1952-01-11,,23.98,,,,,,270.3,,,
1952-01-14,,24.16,,,,,,271.58,,,
1952-01-15,,24.06,,,,,,270.45,,,
1952-01-16,,24.09,,,,,,271.12,,,
1952-01-17,,24.2,,,,,,271.9,,,
1952-01-18,,24.25,,,,,,272.09,,,
1952-01-21,,24.46,,,,,,274.09,,,
1952-01-22,,24.66,,,,,,275.39,,,
1952-01-23,,24.54,,,,,,274.26,,,
1952-01-24,,24.56,,,,,,273.89,,,
1952-01-25,,24.55,,,,,,273.4,,,
1952-01-28,,24.61,,,,,,274.16,,,
1952-01-29,,24.57,,,,,,274.0,,,
1952-01-30,,24.23,,,,,,270.7,,,
1952-01-31,,24.14,,,34.6,,,270.68,,,
1952-02-01,,24.3,,,,,,271.67,,,
1952-02-04,,24.12,,,,,,269.78,,,
1952-02-05,,24.11,,,,,,269.03,,,
1952-02-06,,24.18,,,,,,268.76,,,
1952-02-07,,24.11,,,,,,268.34,,,
1952-02-08,,24.24,,,,,,269.84,,,
1952-02-11,,24.11,,,,,,268.44,,,
1952-02-13,,23.92,,,,,,266.2,,,
1952-02-14,,23.87,,,,,,265.87,,,
1952-02-15,,23.86,,,,,,266.26,,,
1952-02-18,,23.74,,,,,,265.34,,,
1952-02-19,,23.36,,,,,,261.36,,,
1952-02-20,,23.09,,,,,,258.48,,,
1952-02-21,,23.16,,,,,,259.59,,,
1952-02-22,,,,,,,,259.59,,,
1952-02-25,,23.23,,,,,,260.57,,,
1952-02-26,,23.15,,,,,,259.29,,,
1952-02-27,,23.18,,,,,,259.67,,,
1952-02-28,,23.29,,,,,,260.48,,,
1952-02-29,,23.26,,,34.6,,,260.07,,,
1952-03-03,,23.29,,,,,,260.07,,,
1952-03-04,,23.68,,,,,,263.94,,,
1952-03-05,,23.71,,,,,,264.65,,,
1952-03-06,,23.69,,,,,,264.02,,,
1952-03-07,,23.72,,,,,,263.86,,,
1952-03-10,,23.6,,,,,,262.75,,,
1952-03-11,,23.62,,,,,,262.75,,,
1952-03-12,,23.73,,,,,,263.77,,,
1952-03-13,,23.75,,,,,,264.23,,,
1952-03-14,,23.75,,,,,,264.04,,,
1952-03-17,,23.92,,,,,,264.07,,,
1952-03-18,,23.87,,,,,,264.09,,,
1952-03-19,,23.82,,,,,,264.36,,,
1952-03-20,,23.89,,,,,,265.32,,,
1952-03-21,,23.93,,,,,,265.61,,,
1952-03-24,,23.93,,,,,,265.59,,,
1952-03-25,,23.79,,,,,,264.27,,,
1952-03-26,,23.78,,,,,,263.86,,,
1952-03-27,,23.99,,,,,,265.2,,,
1952-03-28,,24.18,,,,,,266.95,,,
1952-03-31,,24.37,,,34.6,,,269.45,,,
1952-04-01,,24.18,,,,,,267.21,,,
1952-04-02,,24.12,,,,,,267.02,,,
1952-04-03,,24.12,,,,,,266.79,,,
1952-04-04,,24.02,,,,,,265.61,,,
1952-04-07,,23.8,,,,,,263.37,,,
1952-04-08,,23.91,,,,,,265.28,,,
